nombre,partido,PARTIDO_PARA_FILTRO,GENERO,CARGO_PARA_FILTRO,CARGO,INSTITUCION,CCAA,SUELDOBASE_SUELDO,COMPLEMENTOS_SUELDO,PAGASEXTRA_SUELDO,OTRASDIETASEINDEMNIZACIONES_SUELDO,TRIENIOS_SUELDO,RETRIBUCIONMENSUAL,salarioAnual,OBSERVACIONES
José Agustín Reja Rodríguez,USIP-Extremeños,Otros partidos,Hombre,Alcalde,Alcalde,Ayuntamiento de Puebla de Sancho Pérez,Extremadura,0,,,1620,,115.71,1620,Sin dedicación
Francisco Ramos Caballero,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Puebla del Maestre,Extremadura,14238,,,0,,1017,14238,Dedicación Parcial
Pedro Pablo González Merino,Partido Popular,Partido Popular,Hombre,Alcalde,Alcalde,Ayuntamiento de Pueblonuevo del Guadiana,Extremadura,23586.5,,,0,,1684.75,23586.5,Dedicación Exclusiva
Francisco González Miranda,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Reina,Extremadura,5671.11,,,0,,405.08,5671.11,Dedicación Parcial
Domingo Núñez Molina,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Rena,Extremadura,13279.84,,,0,,948.56,13279.84,Dedicación Parcial
Juan Diego Caballero Murillo,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Retamal de Llerena,Extremadura,21000,,,0,,1500,21000,Dedicación Parcial
Máximo José Morales Gómez,Partido Popular,Partido Popular,Hombre,Alcalde,Alcalde,Ayuntamiento de Salvaleón,Extremadura,30353.17,,,0,,2168.08,30353.17,Dedicación Exclusiva
José Antonio Vázquez Barneto,Partido Popular,Partido Popular,Hombre,Alcalde,Alcalde,Ayuntamiento de Salvatierra de los Barros,Extremadura,0,,,170,,12.14,170,Sin dedicación
Andrés Jesús Pérez Palma,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de San Pedro de Mérida,Extremadura,15225.14,,,0,,1087.51,15225.14,Dedicación Parcial
Andrés Hernáiz de Sixte,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de San Vicente de Alcántara,Extremadura,45449.88,,,0,,3246.42,45449.88,Dedicación Exclusiva
Juan José Moralo Pablos,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Sancti-Spíritus,Extremadura,11200,,,521.1,,837.22,11721.1,Dedicación Parcial
María del Carmen Barroso Mateos,Partido Popular,Partido Popular,Mujer,Alcalde,Alcaldesa,Ayuntamiento de Santa Amalia,Extremadura,0,,,433,,30.93,433,Sin dedicación
Ana Belén Cabañas Noriega,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Santa Marta,Extremadura,27772,,,0,,1983.71,27772,Dedicación Exclusiva
Manuel Lavado Barroso,Partido Popular,Partido Popular,Hombre,Alcalde,Alcalde,Ayuntamiento de Los Santos de Maimona,Extremadura,38059.98,,,3461.64,,2965.83,41521.62,Dedicación Exclusiva
Loenzo Molina Medina,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Segura de León,Extremadura,0,,,252,,18,252,Sin dedicación
Regino Barranquero Delgado,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Siruela,Extremadura,23324.04,,,0,,1666,23324.04,Dedicación Parcial
María Dolores Gómez Vaquero,PSOE,PSOE,Mujer,Alcalde,Alcaldesa,Ayuntamiento de Solana de los Barros,Extremadura,32340,,,0,,2310,32340,Dedicación Exclusiva
Antonio García Sánchez,Partido Popular,Partido Popular,Hombre,Alcalde,Alcalde,Ayuntamiento de Talarrubias,Extremadura,37489.76,,,0,,2677.84,37489.76,Dedicación Exclusiva
Manuela Sancho Cortés,Partido Popular,Partido Popular,Mujer,Alcalde,Alcaldesa,Ayuntamiento de Talavera la Real,Extremadura,37066.26,,,0,,2647.59,37066.26,Dedicación Exclusiva
David Fernández Fernández,Partido Popular,Partido Popular,Hombre,Alcalde,Alcalde,Ayuntamiento de Táliga,Extremadura,24233.36,,,0,,1730.95,24233.36,Dedicación Parcial
Rosa María Araujo Cabello,PSOE,PSOE,Mujer,Alcalde,Alcaldesa,Ayuntamiento de Tamurejo,Extremadura,0,,,3694.08,,263.86,3694.08,Sin dedicación
Fernando Trejo Carrasco,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Torre de Miguel Sesmero,Extremadura,21123.03,,,0,,1508.79,21123.03,Dedicación Parcial
Manuel Estribio Sánchez,Ganemos-IU-LV,Unidos Podemos. confluencias y listas afines,Hombre,Alcalde,Alcalde,Ayuntamiento de Torremayor,Extremadura,0,,,571.36,,40.81,571.36,Sin dedicación
Francisco Trinidad Peñato,Partido Popular,Partido Popular,Hombre,Alcalde,Alcalde,Ayuntamiento de Torremejía,Extremadura,33960.45,,,0,,2425.75,33960.45,Dedicación Exclusiva
José Bernardo León Hernando,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Trasierra,Extremadura,4165,,,0,,297.5,4165,Dedicación Parcial
Ana María Gómez Valhondo,Partido Popular,Partido Popular,Mujer,Alcalde,Alcaldesa,Ayuntamiento de Trujillanos,Extremadura,9120.65,,,0,,651.48,9120.65,Dedicación Parcial
Antonio Luna González,Partido Popular,Partido Popular,Hombre,Alcalde,Alcalde,Ayuntamiento de Usagre,Extremadura,28562.8,,,0,,2040.2,28562.8,Dedicación Exclusiva
Gregorio Rodríguez Dueñas,PSOE-SIEX,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Valdecaballeros,Extremadura,20186.79,,,0,,1441.91,20186.79,Dedicación Exclusiva
Pedro Inocente Noriega del Valle,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Valdelacalzada,Extremadura,32193.6,,,900,,2363.83,33093.6,Dedicación Exclusiva
Valentín Pérez García,Partido Popular,Partido Popular,Hombre,Alcalde,Alcalde,Ayuntamiento de Valencia de las Torres,Extremadura,19639.2,,,0,,1402.8,19639.2,Dedicación Parcial
Manuel Naharro Gata,Partido Popular,Partido Popular,Hombre,Alcalde,Alcalde,Ayuntamiento de Valencia del Mombuey,Extremadura,29988,,,0,,2142,29988,Dedicación Parcial
Lorenzo Suárez González,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Valencia del Ventoso,Extremadura,0,,,505,,36.07,505,Sin dedicación
Martín Caballero Horrillo,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Valle de la Serena,Extremadura,15774.71,,,0,,1126.77,15774.71,Dedicación Exclusiva
Manuel Adame Chávez,Ganemos-IU-LV,Unidos Podemos. confluencias y listas afines,Hombre,Alcalde,Alcalde,Ayuntamiento de Valle de Santa Ana,Extremadura,10414.45,,,200,,758.18,10614.45,Dedicación Exclusiva
Carlos Delgado Méndez,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Valverde de Burguillos,Extremadura,19993,,,0,,1428.07,19993,Dedicación Parcial
Andrés Gómez Parra,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Valverde de Llerena,Extremadura,15064.14,,,0,,1076.01,15064.14,Dedicación Parcial
Francisco José Vizcaíno Pantoja,Partido Popular,Partido Popular,Hombre,Alcalde,Alcalde,Ayuntamiento de Valverde de Mérida,Extremadura,9463.69,,,0,,675.98,9463.69,Dedicación Parcial
Ramón Ropero Mancera,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de VILLAFRANCA DE LOS BARROS,Extremadura,0,,,1962,,140.14,1962,Sin dedicación
Eduardo Martín Chavez,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Villagarcía de la Torre,Extremadura,21215.32,,,0,,1515.38,21215.32,Dedicación Exclusiva
José Luis Marín Barrero,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Villagonzalo,Extremadura,0,,,742,,53,742,Sin dedicación
María Carmen Bellorín Benítez,Partido Popular,Partido Popular,Mujer,Alcalde,Alcaldesa,Ayuntamiento de Villalba de los Barros,Extremadura,9025.01,,,0,,644.64,9025.01,Dedicación Exclusiva
Miguel Ángel Gallardo Miranda,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Villanueva de la Serena,Extremadura,0,,,4530,,323.57,4530,Sin dedicación
Nereo Manuel Ramírez Durán,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Villar de Rena,Extremadura,10006.78,,,0,,714.77,10006.78,Dedicación Parcial
Moisés García Vadillo,S.I.V.,Otros partidos,Hombre,Alcalde,Alcalde,Ayuntamiento de Villar del Rey,Extremadura,25561.56,,,0,,1825.83,25561.56,Dedicación Exclusiva
Antonio Miguel Sánchez,Partido Popular,Partido Popular,Hombre,Alcalde,Alcalde,Ayuntamiento de Villarta de los Montes,Extremadura,21158.2,,,0,,1511.3,21158.2,Dedicación Parcial
José Carlos Contreras Asturiano,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Zafra,Extremadura,34178.19,,,1,,2441.37,34179.19,Dedicación Exclusiva
Miguel Ángel Fuentes de la Cruz,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Zalamea de la Serena,Extremadura,29993.24,,,0,,2142.37,29993.24,Dedicación Exclusiva
Francisco José Farrona Navas,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de La Zarza,Extremadura,0,,,1540,,110,1540,Sin dedicación
Rubén Muñoz Barba,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Zarza-Capilla,Extremadura,9907.68,,,0,,707.69,9907.68,Dedicación Parcial
Jesús Naharro Rodríguez,PSC - CP,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Abrera,Cataluña,42491.68,,,0,,3035.12,42491.68,Dedicación Parcial
Valentí Riera Vilaplana,CiU,PdeCAT y otras listas derivadas de CDC,Hombre,Alcalde,Alcalde,Ayuntamiento de Aguilar de Segarra,Cataluña,0,,,9385,,670.36,9385,Sin dedicación
Joan Vila Matabacas,CiU,PdeCAT y otras listas derivadas de CDC,Hombre,Alcalde,Alcalde,Ayuntamiento de Aiguafreda,Cataluña,0,,,17240,,1231.43,17240,Sin dedicación
Andreu Francisco i Roger,ERC + SxA - AM,ERC,Hombre,Alcalde,Alcalde,Ayuntamiento de Alella,Cataluña,45000,,,0,,3214.29,45000,Dedicación Exclusiva
Andreu González Gil,CiU,PdeCAT y otras listas derivadas de CDC,Hombre,Alcalde,Alcalde,Ayuntamiento de L'Ametlla del Vallès,Cataluña,45000.06,,,0,,3214.29,45000.06,Dedicación Exclusiva
Annabel Moreno Nogue,ERC - MES - AM,ERC,Mujer,Alcalde,Alcaldesa,Ayuntamiento de Arenys de Mar,Cataluña,47543.03,,,0,,3395.93,47543.03,Dedicación Exclusiva
Joan Rabasseda Ferrer,ERC - AM,ERC,Hombre,Alcalde,Alcalde,Ayuntamiento de Arenys de Munt,Cataluña,0,,,11700,,835.71,11700,Sin dedicación
Eudald Calvo i Català,CUP - PA - APA,Otros partidos,Hombre,Alcalde,Alcalde,Ayuntamiento de Argentona,Cataluña,29582.98,,,0,,2113.07,29582.98,Dedicación Parcial
Ernest Clotet Berenguer,CUP - PA,Otros partidos,Hombre,Alcalde,Alcalde,Ayuntamiento de Artés,Cataluña,16992.78,,,0,,1213.77,16992.78,Dedicación Parcial
Patrocini Canal Burniol,SA,Otros partidos,Mujer,Alcalde,Alcaldesa,Ayuntamiento de Avià,Cataluña,10672.92,,,0,,762.35,10672.92,Dedicación Parcial
Eudald Vilaseca Font,ERC - AM,ERC,Hombre,Alcalde,Alcalde,Ayuntamiento de Avinyó,Cataluña,0,,,6355,,453.93,6355,Sin dedicación
Oriol de la Cruz Marcè,PM - CP,Otros partidos,Hombre,Alcalde,Alcalde,Ayuntamiento de Avinyonet del Penedès,Cataluña,27678.98,,,0,,1977.07,27678.98,Dedicación Parcial
Alejandro Pastor López,PSC - CP,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Badalona,Cataluña,58444.59,,,0,,4174.61,58444.59,Dedicación Exclusiva
Eva María Menor Cantador,PSC - CP,PSOE,Mujer,Alcalde,Alcaldesa,Ayuntamiento de Badia del Vallès,Cataluña,47256.3,,,0,,3375.45,47256.3,Dedicación Exclusiva
Nicolás Viso Alamillos,CP,Otros partidos,Hombre,Alcalde,Alcalde,Ayuntamiento de Balenyà,Cataluña,22739.67,,,0,,1624.26,22739.67,Dedicación Exclusiva
Anna Magem Marsó,JpB,Otros partidos,Mujer,Alcalde,Alcaldesa,Ayuntamiento de Balsareny,Cataluña,14975.08,,,1000,,1141.08,15975.08,Dedicación Parcial
Silvia Fuster Alay,P.C.P.B.,Otros partidos,Mujer,Alcalde,Alcaldesa,Ayuntamiento de BARBERÀ DEL VALLÈS,Cataluña,55000,,,0,,3928.57,55000,Dedicación Exclusiva
Ada Colau Ballano,Barcelona En Comú,Unidos Podemos. confluencias y listas afines,Mujer,Alcalde,Alcaldesa,Ayuntamiento de Barcelona,Cataluña,100000,,,,,7142.86,100000,Dedicación Exclusiva
Mercè Esteve Pi,CiU,PdeCAT y otras listas derivadas de CDC,Mujer,Alcalde,Alcaldesa,Ayuntamiento de Begues,Cataluña,44734.65,,,0,,3195.33,44734.65,Dedicación Exclusiva
Joan Josep Galiano Peralta,ERC- Independents - AM,ERC,Hombre,Alcalde,Alcalde,Ayuntamiento de Berga,Cataluña,28861.33,,,1,,2061.6,28862.33,Dedicación Exclusiva
Joan Roma Cunill,CP,Otros partidos,Hombre,Alcalde,Alcalde,Ayuntamiento de Borredà,Cataluña,0,,,920,,65.71,920,Sin dedicación
Enric Canela Vallés,BV - ERC - AM,ERC,Hombre,Alcalde,Alcalde,Ayuntamiento de El Bruc,Cataluña,18064.24,,,0,,1290.3,18064.24,Dedicación Parcial
Ferrán Teixidó Turner,Ara Brull,Unidos Podemos. confluencias y listas afines,Hombre,Alcalde,Alcalde,Ayuntamiento de ElBrull,Cataluña,25094.8,,,0,,1792.49,25094.8,Dedicación Parcial
Agustí Vallverdu Gil,CiU,PdeCAT y otras listas derivadas de CDC,Hombre,Alcalde,Alcalde,Ayuntamiento de Les Cabanyes,Cataluña,7875.65,,,432.39,,593.43,8308.04,Dedicación Parcial
Salustià Monteagudo Hidalgo,PSC -CP,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Cabrera d'Anoia,Cataluña,0,,,21094.75,,1506.77,21094.75,Sin dedicación
Avelina Morales Serra,CiU,PdeCAT y otras listas derivadas de CDC,Mujer,Alcalde,Alcaldesa,Ayuntamiento de Cabrera de Mar,Cataluña,30300.06,,,0,,2164.29,30300.06,Dedicación Parcial
Jordi Badia Perea,JC - AM,Otros partidos,Hombre,Alcalde,Alcalde,Ayuntamiento de Calaf,Cataluña,36328.6,,,0,,2594.9,36328.6,Dedicación Exclusiva
Eduard Sánchez Campoy,CiU,PdeCAT y otras listas derivadas de CDC,Hombre,Alcalde,Alcalde,Ayuntamiento de Calders,Cataluña,21999.96,,,0,,1571.43,21999.96,Dedicación Parcial
Jordi Solé Ferrando,ERC - AM,ERC,Hombre,Alcalde,Alcalde,Ayuntamiento de Caldes de Montbui,Cataluña,0,,,3450,,246.43,3450,Sin dedicación
Rosa Pou Baro,ERC - AM,ERC,Mujer,Alcalde,Alcaldesa,Ayuntamiento de Caldes d'Estrac,Cataluña,29009.21,,,0,,2072.09,29009.21,Dedicación Exclusiva
Montserrat Candini Puig,CiU,PdeCAT y otras listas derivadas de CDC,Mujer,Alcalde,Alcaldesa,Ayuntamiento de Calella,Cataluña,2600,,,0,,185.71,2600,Dedicación Parcial
Joan Badía Pujol,ERC - AM,ERC,Hombre,Alcalde,Alcalde,Ayuntamiento de Callús,Cataluña,0,,,5500,,392.86,5500,Sin dedicación
Xavier Nadal Masana,CiU,PdeCAT y otras listas derivadas de CDC,Hombre,Alcalde,Alcalde,Ayuntamiento de Calonge de Segarra,Cataluña,9299.04,,,0,,664.22,9299.04,Dedicación Parcial
Joan Lacruz Gil,ERC - AM,ERC,Hombre,Alcalde,Alcalde,Ayuntamiento de Campins,Cataluña,19561.68,,,0,,1397.26,19561.68,Dedicación Parcial
Blanca Arbell Brugarola,ERC - AM,ERC,Mujer,Alcalde,Alcaldesa,Ayuntamiento de Canet de Mar,Cataluña,29826.58,,,0,,2130.47,29826.58,Dedicación Parcial
Emiliano Cordero Soria,PSC - CP,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Canovelles,Cataluña,50000,,,0,,3571.43,50000,Dedicación Exclusiva
Rosa Huguet Sugranyes,CiU,PdeCAT y otras listas derivadas de CDC,Mujer,Alcalde,Alcaldesa,Ayuntamiento de Capellades,Cataluña,25942.44,,,294.66,,1874.08,26237.1,Dedicación Exclusiva
Mireia Besora Sans,Independents per Capolat,Otros partidos,Mujer,Alcalde,Alcaldesa,Ayuntamiento de Capolat,Cataluña,10442.88,,,0,,745.92,10442.88,Dedicación Parcial
Enric Olive Mante,ERC - AM,ERC,Hombre,Alcalde,Alcalde,Ayuntamiento de Cardedeu,Cataluña,39999.96,,,0,,2857.14,39999.96,Dedicación Parcial
Josep Colillas Sabartes,ERC - AM,ERC,Hombre,Alcalde,Alcalde,Ayuntamiento de Casserres,Cataluña,17962.28,,,0,,1283.02,17962.28,Dedicación Parcial
Salvador Junca Armengou,CiU,PdeCAT y otras listas derivadas de CDC,Hombre,Alcalde,Alcalde,Ayuntamiento de Castellar de n'Hug,Cataluña,20320.32,,,0,,1451.45,20320.32,Dedicación Exclusiva
Adriá Sole Giralt,CiU,PdeCAT y otras listas derivadas de CDC,Hombre,Alcalde,Alcalde,Ayuntamiento de Castellar del Riu,Cataluña,9300,,,0,,664.29,9300,Dedicación Parcial
Ignasi Giménez Renom,Som de Castellar - PSC - CP,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Castellar del Vallès,Cataluña,43599.92,,,0,,3114.28,43599.92,Dedicación Parcial
Montserrat Badia Moreno,PSC - CP,PSOE,Mujer,Alcalde,Alcaldesa,Ayuntamiento de Castellbell i el Vilar,Cataluña,33843.31,,,0,,2417.38,33843.31,Dedicación Parcial
Joan Playa Guirado,ALTpCB - E,Otros partidos,Hombre,Alcalde,Alcalde,Ayuntamiento de Castellbisbal,Cataluña,48025.04,,,0,,3430.36,48025.04,Dedicación Exclusiva
Salvador Rovira Pujol,CiU,PdeCAT y otras listas derivadas de CDC,Hombre,Alcalde,Alcalde,Ayuntamiento de Castellcir,Cataluña,17791.84,,,0,,1270.85,17791.84,Dedicación Parcial
María Asunción Miranda Cuervas,PSC - CP,PSOE,Mujer,Alcalde,Alcaldesa,Ayuntamiento de Castelldefels,Cataluña,58797.1,,,0,,4199.79,58797.1,Dedicación Exclusiva
Miguel Delgado Almansa,PSC - CP,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Castellet i la Gornal,Cataluña,36000.02,,,0,,2571.43,36000.02,Dedicación Exclusiva
Ramón Ibáñez Closa,CiU,PdeCAT y otras listas derivadas de CDC,Hombre,Alcalde,Alcalde,Ayuntamiento de Castellfollit de Riubregós,Cataluña,2487.24,,,0,,177.66,2487.24,Dedicación Parcial
Cristòfol Gimeno Iglesias,PSC - CP,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Castellgalí,Cataluña,37625.7,,,0,,2687.55,37625.7,Dedicación Exclusiva
Domènec Òrrit i Pujol,ERC - AM,ERC,Hombre,Alcalde,Alcalde,Ayuntamiento de Castellnou de Bages,Cataluña,27579.62,,,0,,1969.97,27579.62,Dedicación Exclusiva
Joan Serra Muset,PUC - AM,ERC,Hombre,Alcalde,Alcalde,Ayuntamiento de Castellolí,Cataluña,18612.28,,,385,,1356.95,18997.28,Dedicación Parcial
Isaac Burgos Lozano,CeP,Otros partidos,Hombre,Alcalde,Alcalde,Ayuntamiento de Castellterçol,Cataluña,0,,,3078,,219.86,3078,Sin dedicación
Xavier Ramos Pujol,CiU,PdeCAT y otras listas derivadas de CDC,Hombre,Alcalde,Alcalde,Ayuntamiento de Castellví de la Marca,Cataluña,17656.97,,,0,,1261.21,17656.97,Dedicación Parcial
Miquel Arisa Coma,PSC - CP,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Centelles,Cataluña,46197.82,,,0,,3299.84,46197.82,Dedicación Exclusiva
Jesús Calderer Palau,CiU,PdeCAT y otras listas derivadas de CDC,Hombre,Alcalde,Alcalde,Ayuntamiento de Cercs,Cataluña,4726.8,,,0,,337.63,4726.8,Dedicación Parcial
Carlos Escola Sánchez,COMPROMISxC - CAV - PA,Compromís,Hombre,Alcalde,Alcalde,Ayuntamiento de Cerdanyola del Vallès,Cataluña,55607.8,,,0,,3971.99,55607.8,Dedicación Exclusiva
José Ignacio Aparicio Ciria,M'estimo Cervelló - PSC - CP,Otros partidos,Hombre,Alcalde,Alcalde,Ayuntamiento de CERVELLÓ,Cataluña,39710.36,,,0,,2836.45,39710.36,Dedicación Parcial
Miquel Sola Navarro,ERC - AM,ERC,Hombre,Alcalde,Alcalde,Ayuntamiento de Collbató,Cataluña,27000,,,0,,1928.57,27000,Dedicación Exclusiva
Oriol Batlló Farriol,AC - AM,Otros partidos,Hombre,Alcalde,Alcalde,Ayuntamiento de Collsuspina,Cataluña,12398.76,,,0,,885.63,12398.76,Dedicación Parcial
Francesc Salamé Sabater,JC - AM,PdeCAT y otras listas derivadas de CDC,Hombre,Alcalde,Alcalde,Ayuntamiento de Copons,Cataluña,21999.96,,,0,,1571.43,21999.96,Dedicación Parcial
Montserrat Febrero Piera,ERC -AM,ERC,Mujer,Alcalde,Alcaldesa,Ayuntamiento de Corbera de Llobregat,Cataluña,41772.31,,,0,,2983.74,41772.31,Dedicación Exclusiva
Antonio Balmón Arévalo,PSC - CP,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Cornellà de Llobregat,Cataluña,71604.4,,,0,,5114.6,71604.4,Dedicación Exclusiva
Rosa Montserrat Fonoll Ventura,UC 11 - RCAT,Otros partidos,Mujer,Alcalde,Alcaldesa,Ayuntamiento de Cubelles,Cataluña,44554.72,,,0,,3182.48,44554.72,Dedicación Exclusiva
Marc Bosch de Doria,ERC - AM,ERC,Hombre,Alcalde,Alcalde,Ayuntamiento de DOSRIUS,Cataluña,35000,,,0,,2500,35000,Dedicación Parcial
Eduard Rivas Mateo,PSC - CP,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Esparreguera,Cataluña,47142.84,,,0,,3367.35,47142.84,Dedicación Exclusiva
Pilar Díaz Romero,PSC - CP,PSOE,Mujer,Alcalde,Alcaldesa,Ayuntamiento de ESPLUGUES DE LLOBREGAT,Cataluña,0,,,16594,,1185.29,16594,Sin dedicación
Salvador Tresserra Purtí,ERC - AM,ERC,Hombre,Alcalde,Alcalde,Ayuntamiento de L'Estany,Cataluña,9299.16,,,0,,664.23,9299.16,Dedicación Parcial
Antonio García Díaz,CiU,PdeCAT y otras listas derivadas de CDC,Hombre,Alcalde,Alcalde,Ayuntamiento de Fígols,Cataluña,7754.52,,,0,,553.89,7754.52,Dedicación Parcial
Josep Vila Camps,IF,Otros partidos,Hombre,Alcalde,Alcalde,Ayuntamiento de Fogars de la Selva,Cataluña,10800,,,0,,771.43,10800,Dedicación Parcial
Albert Rovira Rovira,CiU,PdeCAT y otras listas derivadas de CDC,Hombre,Alcalde,Alcalde,Ayuntamiento de Fogars de Montclús,Cataluña,18988.08,,,0,,1356.29,18988.08,Dedicación Parcial
Carles Baronet Aldabó,IF,Otros partidos,Hombre,Alcalde,Alcalde,Ayuntamiento de Folgueroles,Cataluña,19992,,,0,,1428,19992,Dedicación Parcial
Eloi Hernández Mosella,Junts - ERC - AM,PdeCAT y otras listas derivadas de CDC,Hombre,Alcalde,Alcalde,Ayuntamiento de Fonollosa,Cataluña,16630.44,,,0,,1187.89,16630.44,Dedicación Parcial
Xavier Lluch Llopart,CiU,PdeCAT y otras listas derivadas de CDC,Hombre,Alcalde,Alcalde,Ayuntamiento de Font-rubí,Cataluña,17505.72,,,0,,1250.41,17505.72,Dedicación Exclusiva
Francesc Colomé Tenas,CiU,PdeCAT y otras listas derivadas de CDC,Hombre,Alcalde,Alcalde,Ayuntamiento de Les Franqueses del Vallès,Cataluña,50000,,,0,,3571.43,50000,Dedicación Exclusiva
Enric Armengou Vall de Vilaramo,CiU,PdeCAT y otras listas derivadas de CDC,Hombre,Alcalde,Alcalde,Ayuntamiento de Gaià,Cataluña,9299.04,,,0,,664.22,9299.04,Dedicación Parcial
Mateu Comalrena de Sobregrau Esteve,CiU,PdeCAT y otras listas derivadas de CDC,Hombre,Alcalde,Alcalde,Ayuntamiento de Gallifa,Cataluña,9299.04,,,1000,,735.65,10299.04,Dedicación Parcial
Meritxell Budo Pla,CiU,PdeCAT y otras listas derivadas de CDC,Mujer,Alcalde,Alcaldesa,Ayuntamiento de La Garriga,Cataluña,0,,,3659.27,,261.38,3659.27,Sin dedicación
Raquel Sánchez Jiménez,PSC,PSOE,Mujer,Alcalde,Alcaldesa,Ayuntamiento de Gavà,Cataluña,56105.5,,,0,,4007.54,56105.5,Dedicación Exclusiva
Lluis Valls Comas,PSC - CP,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Gelida,Cataluña,41862.4,,,0,,2990.17,41862.4,Dedicación Exclusiva
Pere Genesca Girbau,CiU,PdeCAT y otras listas derivadas de CDC,Hombre,Alcalde,Alcalde,Ayuntamiento de Granera,Cataluña,0,,,1400,,100,1400,Sin dedicación
Josep Mayoral Antigas,PSC - CP,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Granollers,Cataluña,59511.62,,,0,,4250.83,59511.62,Dedicación Exclusiva
Marc Uriach Cortinas,CiU,PdeCAT y otras listas derivadas de CDC,Hombre,Alcalde,Alcalde,Ayuntamiento de Gualba,Cataluña,26500,,,0,,1892.86,26500,Dedicación Parcial
Josep Pere Lara Tristante,CiU,PdeCAT y otras listas derivadas de CDC,Hombre,Alcalde,Alcalde,Ayuntamiento de Guardiola de Berguedà,Cataluña,11232.76,,,0,,802.34,11232.76,Dedicación Parcial
Joan Roca Tió,CiU,PdeCAT y otras listas derivadas de CDC,Hombre,Alcalde,Alcalde,Ayuntamiento de Gurb,Cataluña,21232.54,,,660,,1563.75,21892.54,Dedicación Parcial
Daniel Vendrell Domínguez,SI - CP,Otros partidos,Hombre,Alcalde,Alcalde,Ayuntamiento de Els Hostalets de Pierola,Cataluña,27000,,,0,,1928.57,27000,Dedicación Parcial
Óscar Sierra Gaona,PSC - CP,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de La Llagosta,Cataluña,46270,,,0,,3305,46270,Dedicación Exclusiva
Ignasi Simón Ortoll,PSC - CP,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de LLIÇÀ D'AMUNT,Cataluña,50000,,,0,,3571.43,50000,Dedicación Exclusiva
Xavier Serrate Cunill,CiU,PdeCAT y otras listas derivadas de CDC,Hombre,Alcalde,Alcalde,Ayuntamiento de Lliçà de Vall,Cataluña,0,,,7962.68,,568.76,7962.68,Sin dedicación
Martí Pujol i Casals,ERC - AM,ERC,Hombre,Alcalde,Alcalde,Ayuntamiento de Llinars del Vallès,Cataluña,0,,,11850,,846.43,11850,Sin dedicación
Joan Carles Solé Latorre,FEM,Otros partidos,Hombre,Alcalde,Alcalde,Ayuntamiento de Lluçà,Cataluña,8370,,,0,,597.86,8370,Dedicación Parcial
María Carmen Ponsa Monge,JxM,Otros partidos,Mujer,Alcalde,Alcaldesa,Ayuntamiento de Malgrat de Mar,Cataluña,46325.88,,,0,,3308.99,46325.88,Dedicación Exclusiva
